rank,video,video_views,likes,dislikes,category,published,like_ratio
915,Streamer’s Wholesome Reaction To Fan’s Heartbreaking Story🥹 #shorts,26100905,2061254,0,People & Blogs,2024,7.9
916,박근혜 대통령 탄핵안 가결!!실시간 어느 고등학교의 폭발적인 반응!!!(Korea high schoolers react to the impeachment of president.),1703647,15176,552,People & Blogs,2016,0.89
917,Boomerang,3050764,3939,290,Comedy,2005,0.13
918,【100万再生回数達成】★大阪人気ナンバーワンのエステサロン★1分間ポンポンするだけで究極リフトアップ,1017738,3326,2277,People & Blogs,2017,0.33
919,MARIA MARIAH VOCÊ NÃO SAI DA MINHA CABEÇA (Clipe Oficial),1820996,15209,0,Music,2024,0.84
920,"140"" Bushmaster tail dip",24788576,736584,0,People & Blogs,2024,2.97
921,Importance of hand signals while overtaking in ghats and foggy areas. #ridesafe #handsignals #bike,22826019,815933,0,People & Blogs,2024,3.57
922,👂👂🫡 #اكسبلور #funny #cat #ضحك #memes #دويتو #ترند #kitten #fishing #رياكش #shorts #short,25185099,684225,0,People & Blogs,2024,2.72
923,Racist Woman yelling and demanding to see a white doctor born in Canada.,1614429,6369,2096,Comedy,2017,0.39
924,Remember the 80's ?,3293594,1481,89,Comedy,2006,0.04
925,Kobe dunks over Shaq in practice (funny),12649333,4492,1247,Sports,2006,0.04
926,Groom forgets rings prank,2760303,1730,212,Entertainment,2016,0.06
927,$40 dollar poki bowl!!                    Gotta try this one #food #foodie #salmonlover,16295169,983740,0,People & Blogs,2025,6.04
928,Koca Kalpli ARDA GÜLER ❤️,26787697,634428,0,Entertainment,2024,2.37
929,think smarter not harder🤨#funnymemes #harvard #basketball #viralshorts #fyp #fypシ゚viral,16126369,726522,0,People & Blogs,2024,4.51
930,"Хоккеистки России заставили смолкнуть трибуны, освистывающие российский гимн. Женский МЧМ-2017.",1191850,7735,546,People & Blogs,2017,0.65
931,When the Cyberpunk 2077 combat music kicks in,2368634,127435,0,Comedy,2020,5.38
932,Tyler Childers - In Your Love (Official Video),3821851,95025,0,Music,2023,2.49
933,Biker gets shot at after hitting the side view mirror #shocked #reels #shorts #shortsvideo #fyp #usa,24948709,1050338,0,Entertainment,2024,4.21
934,💥The best way to Discover Your Ideal Luxury Vehicle with AMIN! #car #luxurylifestyle #luxurycars,25592660,745991,0,People & Blogs,2024,2.91
935,NO POMEGRANATES,4648330,153880,1563,People & Blogs,2017,3.31
936,Jean-Claude Juncker drunk and bitch slaps leaders,2668268,5378,576,People & Blogs,2015,0.2
937,Lunchtime baby belly laughs,575200,5231,150,Entertainment,2017,0.91
938,The megalodon-World's Biggest Shark,13893527,8744,5157,Entertainment,2007,0.06
939,#corgi #petpet #lovepet #cutespets #cute #funny,18561383,681355,0,People & Blogs,2024,3.67
940,Bro wake up and choose violence 🗿💀||#trending #shorts,14336051,1077519,0,People & Blogs,2024,7.52
941,FEDERAL AGENT RUINS HIS CAREER WITH ONE CRAZY MOVE,34390670,1310073,0,People & Blogs,2024,3.81
942,Caroline & Bonnie save Elena once again✨️ #vampirediaries #elenagilbert #ninadobrev #ian #shortsfeed,17308836,652646,0,People & Blogs,2024,3.77
943,Big Bang Theory - Why Sheldon does not celebrate christmas,1684744,4911,135,Comedy,2010,0.29
944,Why athletes should wear pants,17802747,2935,46151,Sports,2008,0.02
945,Sold Pupper Dance,1712611,38836,434,People & Blogs,2017,2.27
946,Ken Lee or Without you by Mariah Carey (ENGLISH SUBTITLES),18308842,28127,1491,Entertainment,2008,0.15
947,HSMFanNisa Exclusive:High School Musical 2 Song(s)With Lyric,7352624,2538,256,Music,2007,0.03
948,Parents attending the art show.#shorts #viralvideos #show,12386186,929034,0,Film & Animation,2024,7.5
949,Dexter for the Justice of his children. | Twin Tribes - Monolith (slowed + reverb),20227916,1285687,0,People & Blogs,2024,6.36
950,"""Гитлер 1945 / Навальный 2018"" — МОЖЕМ ПОВТОРИТЬ!",2282062,15180,178042,People & Blogs,2017,0.67
951,Star Wars but every time someone shoots a laser it speeds up,5535360,89869,5731,Film & Animation,2016,1.62
952,That awkward moment when Hugh Jackman remembers he taught you at school,6602771,118797,840,Entertainment,2013,1.8
953,Comedian Hits on Hecklers Girlfriend,5260834,6870,1032,Comedy,2007,0.13
954,2016 MAMA 王大陸 大平台,1735464,2708,4760,People & Blogs,2016,0.16
955,S.Pri Noir - 7 vies (Clip Officiel) ft. RK,185304,13026,111,Music,2021,7.03
956,r/place meteor,770494,26094,0,Gaming,2022,3.39
957,nE !?,1276617,11184,0,Music,2024,0.88
958,Ishq Hai,2821667,43311,0,Music,2024,1.53
959,ROSONES TITO DP,1245576,14025,0,Music,2024,1.13
960,Fooled them all... 🤯💀#troll #trollface #edit,22321344,1572540,0,Entertainment,2024,7.05
961,Cocky Fighter blinks and gets KO'd on TUF 24,3451065,16886,1227,Sports,2016,0.49
962,Sleeping Beauty Proposal,2419418,27748,200,Comedy,2020,1.15
963,Ridiculous editing,573270,3569,260,People & Blogs,2017,0.62
964,Proof we're getting old pt.3 💔,27663643,1459636,0,Entertainment,2024,5.28
965,bro can't lose haha!.#stake  #cabrzy #roulette  #shorts #short #viral #casino #slots,14837506,1312159,0,People & Blogs,2024,8.84
966,Lo mas tierno de Hoy #respetoanimal #shortsviral,29166229,414778,0,People & Blogs,2024,1.42
967,# #foryou #movie,10184724,1206753,0,People & Blogs,2024,11.85
968,bro's adrenaline rushed at right time #shortsfeed #gain97 #adernaline#trending#viral #youtubeshorts,15910827,831070,0,Entertainment,2024,5.22
969,Kurdish KANGAL vs.American Pitbull Terrier Dog Fight 2008,8066421,1267,5689,Pets & Animals,2008,0.02
970,Нападение байкеров на машину! (с неожиданным концом!),15766889,15639,2200,People & Blogs,2014,0.1
971,Average Guy vs Football Players,2281850,12245,421,Sports,2010,0.54
972,Seth Rogen Laugh + Cantina Song = Nightmares,9244302,76823,2393,Entertainment,2014,0.83
973,Piccola - Piccola (Official Fan Video),1650882,4499,189,Music,2017,0.27
974,Kiss Guy (YAYO Sanchez) plays Monkeywrench w/ Foo Fighters Austin TX 4-18-18,5463878,40430,745,Music,2018,0.74
975,Dalek Relaxation Tape,1879731,19392,252,Entertainment,2012,1.03
976,Cat Burns - go (Lyric Video) ft. Sam Smith,772111,26700,0,Music,2022,3.46
977,Angry pedestrian gets instant karma,9628813,133087,4086,Entertainment,2017,1.38
978,ECKO - MUJER (Official Video),1611367,73686,4244,,2020,4.57
979,Жизнь пластиковой бутылки,2061290,2432,387,People & Blogs,2017,0.12
980,German Shepherd suddenly realizes he is at the vet,7053186,71435,1980,People & Blogs,2014,1.01
981,Tafel stürzt beinahe auf Dozenten | TU München | Elektrotechnik,2184618,39566,1147,People & Blogs,2017,1.81
982,DIESEL LOUIE,1605558,1035,52,Autos & Vehicles,2007,0.06
983,FloRida - Right Round (VinylRockerz Remix),3334348,3889,471,Music,2009,0.12
984,Zigle Zigle,532977,4213,0,Music,2024,0.79
985,Cantona VS Supporter,3694102,5186,465,Sports,2011,0.14
986,Popping a Balloon in an Anechoic Chamber,6356385,32310,6821,Science & Technology,2015,0.51
987,The Biggest Tourbillon Wristwatch - Maximus by Kerbedanz in Limited Edition,324725,5456,136,People & Blogs,2017,1.68
988,Star Wars Crosswalk 🦺🦺🦺,15515651,800567,0,Education,2024,5.16
989,Med Cezir,1184183,13883,0,Music,2024,1.17
990,I ate the Farburger#movie #shorts,12720992,1080964,0,People & Blogs,2024,8.5
991,Please tell me I did a good job 🥹❤️ #art,14310073,801435,0,People & Blogs,2024,5.6
992,“I know what I’m doing.” Famous last words! | #TheRookie,64992299,1615193,0,Film & Animation,2024,2.49
993,Samsung mocking Apple 😂💀 #blowup #apple #samsung #edit,35508692,2324673,0,People & Blogs,2024,6.55
994,다이소에서 산 장난감,29754253,960096,0,Pets & Animals,2025,3.23
995,"Rihanna ""Cry""",32695896,47735,1456,Music,2007,0.15
996,New Champ Kayn/Rhaast Leak for LOL (Moobeat credit me you derro),847249,1857,173,People & Blogs,2017,0.22
997,Ford Mustang Launch (street),1001605,2214,27,Autos & Vehicles,2008,0.22
998,Eminem is gay - The Interview,2718939,43492,0,Entertainment,2014,1.6
999,Yakuza OST - Baka Mitai (ばかみたい) Kiryu full version,52890986,850425,0,Gaming,2017,1.61
1000,What a Twist #memes #shorts #movie,11637337,938043,0,Gaming,2024,8.06
